,Asset Name,Asset Name: Address,Asset Name: Size,Asset Name: Date Built,Custom: Assessment Date,formattted_address,latitude,longitude,formatted_address,location,geometry,index_right,OBJECTID,WARD,COUNCILLOR_NAME,PHONE,EMAIL,WEBSITE,PICTURE_URL,Shape__Area,Shape__Length,year,dry_days_hxmax40_mean,freeze_thaw_mean,ice_days_mean,max_temp_mean_mean,minimum_temp_mean_mean,tg_mean_6_mean,total_precipitation_mean,wet_days_plus20mm_mean
10,ANCASTER OPERATIONS CENTRE - MAIN BUILDING (F),501 SHAVER ROAD,21860.0,1995-01-02,2018,"501 shaver road, Hamilton, Ontario",43.1980835,-80.01195356,"501 Shaver Rd, Ancaster, Ontario, L9G 3K9","501 Shaver Rd, Ancaster, Ontario, L9G 3K9",POINT (-80.011953562504 43.198083496279),11.0,12.0,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066,1995.0,2.1,64.05,46.9,13.780333333333335,4.132000000000001,8.953000000000001,855.7356666666668,7.266666666666667
11,ANCASTER OPERATIONS CENTRE - NORTH GARAGE,501 SHAVER ROAD,8091.0,1983-01-02,2018,"501 shaver road, Hamilton, Ontario",43.1980835,-80.01195356,"501 Shaver Rd, Ancaster, Ontario, L9G 3K9","501 Shaver Rd, Ancaster, Ontario, L9G 3K9",POINT (-80.011953562504 43.198083496279),11.0,12.0,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066,1983.0,1.6428571428571428,65.27380952380952,49.55952380952381,13.461904761904758,3.813571428571428,8.635714285714286,853.0385714285713,7.107142857142857
12,ANCASTER OPERATIONS CENTRE - SALT / SAND STORAGE,501 SHAVER ROAD,4816.0,2006-01-01,2018,"501 shaver road, Hamilton, Ontario",43.1980835,-80.01195356,"501 Shaver Rd, Ancaster, Ontario, L9G 3K9","501 Shaver Rd, Ancaster, Ontario, L9G 3K9",POINT (-80.011953562504 43.198083496279),11.0,12.0,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066,2006.0,2.473684210526316,63.05263157894737,43.921052631578945,14.023684210526316,4.399473684210527,9.212105263157893,866.5794736842106,7.578947368421052
13,ANCASTER SENIORS ACHIEVEMENT CENTRE,622 ALBERTON ROAD SOUTH,14377.0,1969-01-02,2018,"622 alberton road south, Hamilton, Ontario",43.18472211,-80.07068053,"622 Alberton Rd, Jerseyville, Ontario, L0R 1R0","622 Alberton Rd, Jerseyville, Ontario, L0R 1R0",POINT (-80.070680528912 43.184722113975),11.0,12.0,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066,1969.0,1.2142857142857142,66.41071428571429,51.598214285714285,13.22892857142857,3.560535714285714,8.394642857142857,847.5930357142859,6.955357142857143
14,ANCASTER SQUARE (L & MSC),300 WILSON STREET EAST,17678.0,1996-01-02,2021,"300 wilson street east, Hamilton, Ontario",43.2252236,-79.97672727,"300 Wilson St E, Ancaster, Ontario, L9G 2B9","300 Wilson St E, Ancaster, Ontario, L9G 2B9",POINT (-79.976727273304 43.225223595847),11.0,12.0,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066,1996.0,2.103448275862069,62.327586206896555,45.87931034482759,13.78,4.362413793103448,9.072068965517241,853.0589655172414,7.379310344827586
15,ANCASTER THEATRE (OLD FIREHALL),334 WILSON STREET EAST,4971.0,1960-01-02,2019,"334 wilson street east, Hamilton, Ontario",43.22631312,-79.97592613,"334 Wilson St E, Ancaster, Ontario, L9G 2C2","334 Wilson St E, Ancaster, Ontario, L9G 2C2",POINT (-79.975926130999 43.226313117531),11.0,12.0,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066,1960.0,1.1538461538461537,65.00769230769231,52.176923076923075,13.08953846153846,3.6358461538461535,8.363384615384616,840.0775384615384,6.976923076923077
16,ANDY WARBURTON MEMORIAL PARK - UTILITY BUILDING,199 TRAGINA AVENUE NORTH,688.0,1985-09-20,2017,"199 tragina avenue north, Hamilton, Ontario",43.24507509,-79.80244747,"199 Tragina Ave N, Hamilton, Ontario, L8H 5C9","199 Tragina Ave N, Hamilton, Ontario, L8H 5C9",POINT (-79.802447473538 43.24507508578),3.0,4.0,4,Tammy Hwang,905-546-2113,ward4@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-4,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrHwang2022.jpg.jpeg?itok=BYWACH40,20411250.4,30523.09194,1985.0,1.925,57.675,43.5625,13.752,4.84,9.29725,832.2475000000001,6.9125
17,BARTON COMMUNITY HUB (CARPENTER'S SHOP),200 CAROLINE STREET NORTH,13453.0,1950-01-02,2020,"200 caroline street north, Hamilton, Ontario",43.26269621,-79.87375905,"200 Caroline St N, Hamilton, Ontario, L8R 2C1","200 Caroline St N, Hamilton, Ontario, L8R 2C1",POINT (-79.873759054641 43.262696214902),1.0,2.0,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396,1950.0,1.1466666666666667,61.553333333333335,45.56666666666667,13.476666666666667,4.297066666666666,8.8848,806.5114666666668,6.673333333333333
18,BARTON LIBRARY,571 BARTON STREET EAST,7612.0,1999-01-02,2021,"571 barton street east, Hamilton, Ontario",43.25808351,-79.84119148,"571 Barton St E, Hamilton, Ontario, L8L 2Z4","571 Barton St E, Hamilton, Ontario, L8L 2Z4",POINT (-79.841191479862 43.258083506142),2.0,3.0,3,Nrinder Nann,905-546-2702,ward3@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-3,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClNann2022.jpg.jpeg?itok=XcU3SJXW,15157684.04,22796.90359,1999.0,2.0384615384615383,57.96153846153846,37.88461538461539,14.331153846153846,5.1996153846153845,9.766153846153847,822.5123076923077,7.115384615384615
19,BATTLEFIELD - PARK PAVILION (H),77 KING STREET WEST,3350.0,2004-01-02,2018,"77 king street west, Hamilton, Ontario",43.266696,-79.95657399,"77 King St W, Dundas, Ontario, L9H 1T5","77 King St W, Dundas, Ontario, L9H 1T5",POINT (-79.956573992947 43.266695995474),12.0,13.0,13,Alex Wilson,905-546-2714,ward13@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-13,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-12/Postcard-ClrWilson2022.jpg.jpeg?itok=Nja7UYOw,272998885.4,84450.74325,2004.0,1.8095238095238095,61.785714285714285,42.023809523809526,14.084285714285713,4.614285714285713,9.35047619047619,853.8052380952381,7.404761904761905
20,BAYFRONT PARK - CONCESSION,200 HARBOUR FRONT DRIVE,693.0,2002-08-28,2017,"200 harbour front drive, Hamilton, Ontario",43.26979688,-79.87038238,"200 Harbour Front Dr, Hamilton, Ontario, L8L 1C8","200 Harbour Front Dr, Hamilton, Ontario, L8L 1C8",POINT (-79.87038237968 43.269796880553),1.0,2.0,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396,2002.0,2.5217391304347827,57.391304347826086,37.30434782608695,14.376521739130439,5.26,9.817826086956524,825.7560869565217,7.108695652173913
21,Bayfront Park - Storage Bldg West Of Yacht Club,202 Harbour Front Drive,455.0,1985-09-20,2017,"202 harbour front drive, Hamilton, Ontario",43.26965479,-79.86955144,"202 Harbour Front Dr, Hamilton, Ontario, L8L 1C8","202 Harbour Front Dr, Hamilton, Ontario, L8L 1C8",POINT (-79.869551437003 43.269654793394),1.0,2.0,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396,1985.0,1.825,59.325,41.575,13.970999999999998,4.8195,9.392750000000001,818.7439999999999,6.9375
22,Bayfront Park - Storage Building,200 Harbour Dr.,200.0,2017-06-16,Model,"200 harbour dr., Hamilton, Ontario",43.23458389,-79.69380979,"Harbour Dr, Hamilton, Ontario, L8E","Harbour Dr, Hamilton, Ontario, L8E",POINT (-79.693809786732 43.234583889205),9.0,10.0,10,Jeff Beattie,905-546-2701,jeff.beattie@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-10,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrBeattie.jpg.jpeg?itok=pdfLrJ5N,31395293.41,31057.20076,2017.0,3.25,51.5,34.25,14.61625,5.91375,10.25,829.8425,7.3125
23,BAYFRONT PARK - WASHROOMS,201 HARBOUR FRONT DRIVE,2600.0,1960-01-02,2017,"201 harbour front drive, Hamilton, Ontario",43.2687377,-79.86893977,"201 Harbour Front Dr, Hamilton, Ontario, L8L 0B1","201 Harbour Front Dr, Hamilton, Ontario, L8L 0B1",POINT (-79.868939770325 43.268737701359),1.0,2.0,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396,1960.0,1.2461538461538462,61.03076923076923,44.88461538461539,13.562461538461537,4.3853846153846145,8.974,807.5198461538462,6.746153846153846
24,Bayfront Park - Yacht Club Bldg,80 Harbour Front Dr.,3813.0,1960-01-02,2019,"80 harbour front dr., Hamilton, Ontario",43.27057992,-79.86800318,"80 Harbour Front Dr, Hamilton, Ontario, L8L 0B1","80 Harbour Front Dr, Hamilton, Ontario, L8L 0B1",POINT (-79.868003176464 43.270579917948),1.0,2.0,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396,1960.0,1.2461538461538462,61.03076923076923,44.88461538461539,13.562461538461537,4.3853846153846145,8.974,807.5198461538462,6.746153846153846
25,BAYFRONT YARD - MAIN BUILDING,215 HARBOUR FRONT DRIVE,7865.06,2021-04-08,,"215 harbour front drive, Hamilton, Ontario",43.26830021,-79.86994292,"215 Harbour Front Dr, Hamilton, Ontario, L8L 1C8","215 Harbour Front Dr, Hamilton, Ontario, L8L 1C8",POINT (-79.869942916497 43.268300207922),1.0,2.0,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396,2021.0,4.0,54.125,33.25,14.855,5.7875,10.27,812.36,7.375
26,Beach Strip Open Space - Washroom Utility Bldg For Trail System,1151 Beach Blvd.,1827.0,2008-09-22,2019,"1151 beach blvd., Hamilton, Ontario",43.29459449,-79.79293359,"1151 Beach Blvd, Hamilton, Ontario, L8H 6Z9","1151 Beach Blvd, Hamilton, Ontario, L8H 6Z9",POINT (-79.792933594339 43.294594489641),4.0,5.0,5,Matt Francis,905-546-2716,matt.francis@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-5,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrFrancis.jpg.jpeg?itok=7VWTb7Vl,19689429.56,35522.41776,2008.0,2.2941176470588234,52.588235294117645,33.705882352941174,14.54,5.878823529411765,9.960588235294118,813.0535294117645,7.382352941176471
27,BEASLEY COMMUNITY CENTRE,145 WILSON STREET,5750.0,2010-11-24,2022,"145 wilson street, Hamilton, Ontario",43.2573565,-79.8613394,"145 Wilson St, Hamilton, Ontario, L8R 1E2","145 Wilson St, Hamilton, Ontario, L8R 1E2",POINT (-79.861339395801 43.25735650177),1.0,2.0,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396,2010.0,2.8666666666666667,56.2,35.5,14.552000000000001,5.466666666666667,10.006666666666666,830.1659999999999,7.4
28,BEASLEY PARK - PAVILION,96 MARY STREET,290.0,2018-01-01,,"96 mary street, Hamilton, Ontario",43.25795128,-79.86261529,"96 Mary St, Hamilton, Ontario, L8R 1K4","96 Mary St, Hamilton, Ontario, L8R 1K4",POINT (-79.862615289103 43.257951281619),1.0,2.0,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396,2018.0,3.5714285714285716,55.785714285714285,33.214285714285715,14.792857142857141,5.667142857142857,10.219999999999999,813.0242857142857,7.285714285714286
29,BELVIEW PARK - WASHROOM,205 BELMONT AVENUE,365.0,1968-01-02,2017,"205 belmont avenue, Hamilton, Ontario",43.2501339,-79.82247972,"205 Belmont Ave, Hamilton, Ontario, L8L 7M6","205 Belmont Ave, Hamilton, Ontario, L8L 7M6",POINT (-79.822479719213 43.250133899623),2.0,3.0,3,Nrinder Nann,905-546-2702,ward3@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-3,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClNann2022.jpg.jpeg?itok=XcU3SJXW,15157684.04,22796.90359,1968.0,1.105263157894737,56.3421052631579,41.85964912280702,13.68561403508772,4.950526315789474,8.973684210526315,794.8978947368422,6.7368421052631575
30,BENNETTO COMMUNITY CENTRE (P),450 HUGHSON STREET NORTH,30435.62,1970-01-02,2018,"450 hughson street north, Hamilton, Ontario",43.27021971,-79.86137938,"450 Hughson St N, Hamilton, Ontario, L8L 4N5","450 Hughson St N, Hamilton, Ontario, L8L 4N5",POINT (-79.861379377479 43.270219705659),1.0,2.0,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396,1970.0,1.4,60.49090909090909,43.8,13.700363636363637,4.528545454545454,9.112363636363636,811.2507272727273,6.7727272727272725
31,BERNIE COURT YARD - BARN,308 RYMAL ROAD EAST,8866.0,2004-01-02,2018,"308 rymal road east, Hamilton, Ontario",43.19870732,-79.87954648,"308 Rymal Rd E, Hamilton, Ontario, L9B 1C2","308 Rymal Rd E, Hamilton, Ontario, L9B 1C2",POINT (-79.87954648206 43.198707319423),6.0,7.0,7,Esther Pauls,905-546-2706,esther.pauls@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-7,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrPauls-2022.jpg.jpeg?itok=XFH04W3H,12979133.28,18061.03157,2004.0,2.5714285714285716,59.04761904761905,42.26190476190476,14.012380952380955,4.8585714285714285,9.435714285714287,855.4714285714286,7.380952380952381
32,BERNIE COURT YARD - BUTLER BUILDING,308 RYMAL ROAD EAST,665.0,1968-01-02,2018,"308 rymal road east, Hamilton, Ontario",43.19870732,-79.87954648,"308 Rymal Rd E, Hamilton, Ontario, L9B 1C2","308 Rymal Rd E, Hamilton, Ontario, L9B 1C2",POINT (-79.87954648206 43.198707319423),6.0,7.0,7,Esther Pauls,905-546-2706,esther.pauls@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-7,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrPauls-2022.jpg.jpeg?itok=XFH04W3H,12979133.28,18061.03157,1968.0,1.368421052631579,62.42982456140351,49.64912280701754,13.237894736842106,4.036140350877193,8.638245614035089,838.4136842105263,6.9298245614035086
33,BERNIE COURT YARD - GARAGE,308 RYMAL ROAD EAST,10576.0,1993-01-02,2018,"308 rymal road east, Hamilton, Ontario",43.19870732,-79.87954648,"308 Rymal Rd E, Hamilton, Ontario, L9B 1C2","308 Rymal Rd E, Hamilton, Ontario, L9B 1C2",POINT (-79.87954648206 43.198707319423),6.0,7.0,7,Esther Pauls,905-546-2706,esther.pauls@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-7,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrPauls-2022.jpg.jpeg?itok=XFH04W3H,12979133.28,18061.03157,1993.0,2.125,60.296875,45.296875,13.7446875,4.5565625,9.1475,845.5040625,7.171875
