,Asset Name,Asset Name: Address,Asset Name: Size,Asset Name: Date Built,Custom: Assessment Date,formattted_address,latitude,longitude,formatted_address,location,geometry,index_right,OBJECTID,WARD,COUNCILLOR_NAME,PHONE,EMAIL,WEBSITE,PICTURE_URL,Shape__Area,Shape__Length
12,ANCASTER OPERATIONS CENTRE - MAIN BUILDING (F),501 SHAVER ROAD,21860,1995-01-02,2018,"501 shaver road, Hamilton, Ontario",43.1980835,-80.01195356,"501 Shaver Rd, Ancaster, Ontario, L9G 3K9","501 Shaver Rd, Ancaster, Ontario, L9G 3K9",POINT (-80.011953562504 43.198083496279),11,12,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066
13,ANCASTER OPERATIONS CENTRE - NORTH GARAGE,501 SHAVER ROAD,8091,1983-01-02,2018,"501 shaver road, Hamilton, Ontario",43.1980835,-80.01195356,"501 Shaver Rd, Ancaster, Ontario, L9G 3K9","501 Shaver Rd, Ancaster, Ontario, L9G 3K9",POINT (-80.011953562504 43.198083496279),11,12,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066
14,ANCASTER OPERATIONS CENTRE - SALT / SAND STORAGE,501 SHAVER ROAD,4816,2006-01-01,2018,"501 shaver road, Hamilton, Ontario",43.1980835,-80.01195356,"501 Shaver Rd, Ancaster, Ontario, L9G 3K9","501 Shaver Rd, Ancaster, Ontario, L9G 3K9",POINT (-80.011953562504 43.198083496279),11,12,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066
15,ANCASTER SENIORS ACHIEVEMENT CENTRE,622 ALBERTON ROAD SOUTH,14377,1969-01-02,2018,"622 alberton road south, Hamilton, Ontario",43.18472211,-80.07068053,"622 Alberton Rd, Jerseyville, Ontario, L0R 1R0","622 Alberton Rd, Jerseyville, Ontario, L0R 1R0",POINT (-80.070680528912 43.184722113975),11,12,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066
16,ANCASTER SQUARE (L & MSC),300 WILSON STREET EAST,17678,1996-01-02,2021,"300 wilson street east, Hamilton, Ontario",43.2252236,-79.97672727,"300 Wilson St E, Ancaster, Ontario, L9G 2B9","300 Wilson St E, Ancaster, Ontario, L9G 2B9",POINT (-79.976727273304 43.225223595847),11,12,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066
17,ANCASTER THEATRE (OLD FIREHALL),334 WILSON STREET EAST,4971,1960-01-02,2019,"334 wilson street east, Hamilton, Ontario",43.22631312,-79.97592613,"334 Wilson St E, Ancaster, Ontario, L9G 2C2","334 Wilson St E, Ancaster, Ontario, L9G 2C2",POINT (-79.975926130999 43.226313117531),11,12,12,Craig Cassar,905-546-2704,craig.cassar@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-12,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrCassar.jpg.jpeg?itok=Hd4CvrQn,297639671.4,83212.28066
18,ANDY WARBURTON MEMORIAL PARK - UTILITY BUILDING,199 TRAGINA AVENUE NORTH,688,1985-09-20,2017,"199 tragina avenue north, Hamilton, Ontario",43.24507509,-79.80244747,"199 Tragina Ave N, Hamilton, Ontario, L8H 5C9","199 Tragina Ave N, Hamilton, Ontario, L8H 5C9",POINT (-79.802447473538 43.24507508578),3,4,4,Tammy Hwang,905-546-2113,ward4@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-4,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrHwang2022.jpg.jpeg?itok=BYWACH40,20411250.4,30523.09194
19,BARTON COMMUNITY HUB (CARPENTER'S SHOP),200 CAROLINE STREET NORTH,13453,1950-01-02,2020,"200 caroline street north, Hamilton, Ontario",43.26269621,-79.87375905,"200 Caroline St N, Hamilton, Ontario, L8R 2C1","200 Caroline St N, Hamilton, Ontario, L8R 2C1",POINT (-79.873759054641 43.262696214902),1,2,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396
20,BARTON LIBRARY,571 BARTON STREET EAST,7612,1999-01-02,2021,"571 barton street east, Hamilton, Ontario",43.25808351,-79.84119148,"571 Barton St E, Hamilton, Ontario, L8L 2Z4","571 Barton St E, Hamilton, Ontario, L8L 2Z4",POINT (-79.841191479862 43.258083506142),2,3,3,Nrinder Nann,905-546-2702,ward3@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-3,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClNann2022.jpg.jpeg?itok=XcU3SJXW,15157684.04,22796.90359
21,BATTLEFIELD - PARK PAVILION (H),77 KING STREET WEST,3350,2004-01-02,2018,"77 king street west, Hamilton, Ontario",43.266696,-79.95657399,"77 King St W, Dundas, Ontario, L9H 1T5","77 King St W, Dundas, Ontario, L9H 1T5",POINT (-79.956573992947 43.266695995474),12,13,13,Alex Wilson,905-546-2714,ward13@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-13,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-12/Postcard-ClrWilson2022.jpg.jpeg?itok=Nja7UYOw,272998885.4,84450.74325
22,BAYFRONT PARK - CONCESSION,200 HARBOUR FRONT DRIVE,693,2002-08-28,2017,"200 harbour front drive, Hamilton, Ontario",43.26979688,-79.87038238,"200 Harbour Front Dr, Hamilton, Ontario, L8L 1C8","200 Harbour Front Dr, Hamilton, Ontario, L8L 1C8",POINT (-79.87038237968 43.269796880553),1,2,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396
23,Bayfront Park - Storage Bldg West Of Yacht Club,202 Harbour Front Drive,455,1985-09-20,2017,"202 harbour front drive, Hamilton, Ontario",43.26965479,-79.86955144,"202 Harbour Front Dr, Hamilton, Ontario, L8L 1C8","202 Harbour Front Dr, Hamilton, Ontario, L8L 1C8",POINT (-79.869551437003 43.269654793394),1,2,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396
24,Bayfront Park - Storage Building,200 Harbour Dr.,200,2017-06-16,Model,"200 harbour dr., Hamilton, Ontario",43.23458389,-79.69380979,"Harbour Dr, Hamilton, Ontario, L8E","Harbour Dr, Hamilton, Ontario, L8E",POINT (-79.693809786732 43.234583889205),9,10,10,Jeff Beattie,905-546-2701,jeff.beattie@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-10,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrBeattie.jpg.jpeg?itok=pdfLrJ5N,31395293.41,31057.20076
25,BAYFRONT PARK - WASHROOMS,201 HARBOUR FRONT DRIVE,2600,1960-01-02,2017,"201 harbour front drive, Hamilton, Ontario",43.2687377,-79.86893977,"201 Harbour Front Dr, Hamilton, Ontario, L8L 0B1","201 Harbour Front Dr, Hamilton, Ontario, L8L 0B1",POINT (-79.868939770325 43.268737701359),1,2,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396
26,Bayfront Park - Yacht Club Bldg,80 Harbour Front Dr.,3813,1960-01-02,2019,"80 harbour front dr., Hamilton, Ontario",43.27057992,-79.86800318,"80 Harbour Front Dr, Hamilton, Ontario, L8L 0B1","80 Harbour Front Dr, Hamilton, Ontario, L8L 0B1",POINT (-79.868003176464 43.270579917948),1,2,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396
27,BAYFRONT YARD - MAIN BUILDING,215 HARBOUR FRONT DRIVE,7865.06,2021-04-08,,"215 harbour front drive, Hamilton, Ontario",43.26830021,-79.86994292,"215 Harbour Front Dr, Hamilton, Ontario, L8L 1C8","215 Harbour Front Dr, Hamilton, Ontario, L8L 1C8",POINT (-79.869942916497 43.268300207922),1,2,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396
28,Beach Strip Open Space - Washroom Utility Bldg For Trail System,1151 Beach Blvd.,1827,2008-09-22,2019,"1151 beach blvd., Hamilton, Ontario",43.29459449,-79.79293359,"1151 Beach Blvd, Hamilton, Ontario, L8H 6Z9","1151 Beach Blvd, Hamilton, Ontario, L8H 6Z9",POINT (-79.792933594339 43.294594489641),4,5,5,Matt Francis,905-546-2716,matt.francis@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-5,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrFrancis.jpg.jpeg?itok=7VWTb7Vl,19689429.56,35522.41776
29,BEASLEY COMMUNITY CENTRE,145 WILSON STREET,5750,2010-11-24,2022,"145 wilson street, Hamilton, Ontario",43.2573565,-79.8613394,"145 Wilson St, Hamilton, Ontario, L8R 1E2","145 Wilson St, Hamilton, Ontario, L8R 1E2",POINT (-79.861339395801 43.25735650177),1,2,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396
30,BEASLEY PARK - PAVILION,96 MARY STREET,290,2018-01-01,,"96 mary street, Hamilton, Ontario",43.25795128,-79.86261529,"96 Mary St, Hamilton, Ontario, L8R 1K4","96 Mary St, Hamilton, Ontario, L8R 1K4",POINT (-79.862615289103 43.257951281619),1,2,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396
31,BELVIEW PARK - WASHROOM,205 BELMONT AVENUE,365,1968-01-02,2017,"205 belmont avenue, Hamilton, Ontario",43.2501339,-79.82247972,"205 Belmont Ave, Hamilton, Ontario, L8L 7M6","205 Belmont Ave, Hamilton, Ontario, L8L 7M6",POINT (-79.822479719213 43.250133899623),2,3,3,Nrinder Nann,905-546-2702,ward3@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-3,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClNann2022.jpg.jpeg?itok=XcU3SJXW,15157684.04,22796.90359
32,BENNETTO COMMUNITY CENTRE (P),450 HUGHSON STREET NORTH,30435.62,1970-01-02,2018,"450 hughson street north, Hamilton, Ontario",43.27021971,-79.86137938,"450 Hughson St N, Hamilton, Ontario, L8L 4N5","450 Hughson St N, Hamilton, Ontario, L8L 4N5",POINT (-79.861379377479 43.270219705659),1,2,2,Cameron Kroetsch,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?itok=_iOW26TK,5920186.384,15531.3396
33,BERNIE COURT YARD - BARN,308 RYMAL ROAD EAST,8866,2004-01-02,2018,"308 rymal road east, Hamilton, Ontario",43.19870732,-79.87954648,"308 Rymal Rd E, Hamilton, Ontario, L9B 1C2","308 Rymal Rd E, Hamilton, Ontario, L9B 1C2",POINT (-79.87954648206 43.198707319423),6,7,7,Esther Pauls,905-546-2706,esther.pauls@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-7,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrPauls-2022.jpg.jpeg?itok=XFH04W3H,12979133.28,18061.03157
34,BERNIE COURT YARD - BUTLER BUILDING,308 RYMAL ROAD EAST,665,1968-01-02,2018,"308 rymal road east, Hamilton, Ontario",43.19870732,-79.87954648,"308 Rymal Rd E, Hamilton, Ontario, L9B 1C2","308 Rymal Rd E, Hamilton, Ontario, L9B 1C2",POINT (-79.87954648206 43.198707319423),6,7,7,Esther Pauls,905-546-2706,esther.pauls@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-7,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrPauls-2022.jpg.jpeg?itok=XFH04W3H,12979133.28,18061.03157
35,BERNIE COURT YARD - GARAGE,308 RYMAL ROAD EAST,10576,1993-01-02,2018,"308 rymal road east, Hamilton, Ontario",43.19870732,-79.87954648,"308 Rymal Rd E, Hamilton, Ontario, L9B 1C2","308 Rymal Rd E, Hamilton, Ontario, L9B 1C2",POINT (-79.87954648206 43.198707319423),6,7,7,Esther Pauls,905-546-2706,esther.pauls@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-7,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrPauls-2022.jpg.jpeg?itok=XFH04W3H,12979133.28,18061.03157
36,BERNIE COURT YARD - MAIN BUILDING (F),308 RYMAL ROAD EAST,20720,1989-01-01,2018,"308 rymal road east, Hamilton, Ontario",43.19870732,-79.87954648,"308 Rymal Rd E, Hamilton, Ontario, L9B 1C2","308 Rymal Rd E, Hamilton, Ontario, L9B 1C2",POINT (-79.87954648206 43.198707319423),6,7,7,Esther Pauls,905-546-2706,esther.pauls@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-7,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrPauls-2022.jpg.jpeg?itok=XFH04W3H,12979133.28,18061.03157
37,BERNIE COURT YARD - SALT STORAGE,308 RYMAL ROAD EAST,4880,1994-01-02,2018,"308 rymal road east, Hamilton, Ontario",43.19870732,-79.87954648,"308 Rymal Rd E, Hamilton, Ontario, L9B 1C2","308 Rymal Rd E, Hamilton, Ontario, L9B 1C2",POINT (-79.87954648206 43.198707319423),6,7,7,Esther Pauls,905-546-2706,esther.pauls@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-7,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrPauls-2022.jpg.jpeg?itok=XFH04W3H,12979133.28,18061.03157
38,BERNIE COURT YARD - SAND STORAGE,308 RYMAL ROAD EAST,4796,2010-01-02,2018,"308 rymal road east, Hamilton, Ontario",43.19870732,-79.87954648,"308 Rymal Rd E, Hamilton, Ontario, L9B 1C2","308 Rymal Rd E, Hamilton, Ontario, L9B 1C2",POINT (-79.87954648206 43.198707319423),6,7,7,Esther Pauls,905-546-2706,esther.pauls@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-7,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrPauls-2022.jpg.jpeg?itok=XFH04W3H,12979133.28,18061.03157
39,BERNIE MORELLI RECREATION CENTRE (P),876 CANNON STREET EAST,54895,2018-09-04,2020,"876 cannon street east, Hamilton, Ontario",43.25018759,-79.83006652,"876 Cannon St E, Hamilton, Ontario, L8L 0C6","876 Cannon St E, Hamilton, Ontario, L8L 0C6",POINT (-79.830066515054 43.250187585712),2,3,3,Nrinder Nann,905-546-2702,ward3@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-3,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClNann2022.jpg.jpeg?itok=XcU3SJXW,15157684.04,22796.90359
40,BERRISFIELD PARK - ICE HUT,125 BIRCHCLIFFE CRESCENT,688,2002-01-02,2017,"125 birchcliffe crescent, Hamilton, Ontario",43.21063691,-79.84011767,"125 Birchcliffe Cres, Hamilton, Ontario, L8T 4K6","125 Birchcliffe Cres, Hamilton, Ontario, L8T 4K6",POINT (-79.840117674246 43.210636905027),5,6,6,Tom Jackson,905-546-2707,tom.jackson@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-6,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Postcard-ClrJackson2022.jpg.jpeg?itok=7Ri9I-wg,16090556.13,21230.93275
41,BEVERLY ARENA,680 HIGHWAY 8,32297.53,1978-01-02,2015,"680 highway 8, Hamilton, Ontario",43.29638629,-80.11156108,"680 Hwy 8, Dundas, Ontario, L9H 5E1","680 Hwy 8, Dundas, Ontario, L9H 5E1",POINT (-80.111561082355 43.296386289083),12,13,13,Alex Wilson,905-546-2714,ward13@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-13,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-12/Postcard-ClrWilson2022.jpg.jpeg?itok=Nja7UYOw,272998885.4,84450.74325
42,BEVERLY COMMUNITY CENTRE & ROCKTON ELEMENTARY SCHOOL (HWDSB),670 HIGHWAY 8,3800,2021-09-01,,"670 highway 8, Hamilton, Ontario",43.21277934,-79.7015123,"670 Hwy 8, Hamilton, Ontario, L8E","670 Hwy 8, Hamilton, Ontario, L8E",POINT (-79.701512299217 43.212779338872),9,10,10,Jeff Beattie,905-546-2701,jeff.beattie@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-10,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-11/Poscard_ClrBeattie.jpg.jpeg?itok=pdfLrJ5N,31395293.41,31057.20076
43,BEVERLY COMMUNITY STORAGE GARAGE,680 HIGHWAY 8,2664,1975-01-02,2019,"680 highway 8, Hamilton, Ontario",43.29638629,-80.11156108,"680 Hwy 8, Dundas, Ontario, L9H 5E1","680 Hwy 8, Dundas, Ontario, L9H 5E1",POINT (-80.111561082355 43.296386289083),12,13,13,Alex Wilson,905-546-2714,ward13@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-13,https://www.hamilton.ca/sites/default/files/styles/post_card_xxl_1x/public/2022-12/Postcard-ClrWilson2022.jpg.jpeg?itok=Nja7UYOw,272998885.4,84450.74325
