,Asset Name,Asset Type,Asset Address,Asset Size SQF,Asset Date Built,2023 FCI Rating
25,BAYFRONT PARK - WASHROOMS,Park Facilities - Public Use,201 HARBOUR FRONT DRIVE,2600,1960-01-02,0
26,Bayfront Park - Yacht Club Bldg,Park Facilities - Public Use,80 Harbour Front Dr.,3813,1960-01-02,0.026801224521647477
27,BAYFRONT YARD - MAIN BUILDING,Work Yards & Maintenance,215 HARBOUR FRONT DRIVE,7865.06,2021-04-08,0
28,Beach Strip Open Space - Washroom Utility Bldg For Trail System,Park Facilities - Public Use,1151 Beach Blvd.,1827,2008-09-22,0.019012593374858736
29,BEASLEY COMMUNITY CENTRE,Community Centres,145 WILSON STREET,5750,2010-11-24,0.0008438632962598905
30,BEASLEY PARK - PAVILION,Park Facilities - Public Use,96 MARY STREET,290,2018-01-01,0
31,BELVIEW PARK - WASHROOM,Park Facilities - Maintenance & Storage,205 BELMONT AVENUE,365,1968-01-02,0.4347199218544621
32,BENNETTO COMMUNITY CENTRE (P),Indoor Pools,450 HUGHSON STREET NORTH,30435.62,1970-01-02,0.04535298181030853
33,BERNIE COURT YARD - BARN,Work Yards & Maintenance,308 RYMAL ROAD EAST,8866,2004-01-02,0.07826548817561065
34,BERNIE COURT YARD - BUTLER BUILDING,Work Yards & Maintenance,308 RYMAL ROAD EAST,665,1968-01-02,0.024580269180896192
35,BERNIE COURT YARD - GARAGE,Work Yards & Maintenance,308 RYMAL ROAD EAST,10576,1993-01-02,0.0014024931699690862
36,BERNIE COURT YARD - MAIN BUILDING (F),Work Yards & Maintenance,308 RYMAL ROAD EAST,20720,1989-01-01,0.10417110422592013
37,BERNIE COURT YARD - SALT STORAGE,Work Yards & Maintenance,308 RYMAL ROAD EAST,4880,1994-01-02,0.6956044886323196
38,BERNIE COURT YARD - SAND STORAGE,Work Yards & Maintenance,308 RYMAL ROAD EAST,4796,2010-01-02,0.6630954772754294
39,BERNIE MORELLI RECREATION CENTRE (P),Indoor Pools,876 CANNON STREET EAST,54895,2018-09-04,0.000925189481609694
40,BERRISFIELD PARK - ICE HUT,Park Facilities - Public Use,125 BIRCHCLIFFE CRESCENT,688,2002-01-02,0
41,BEVERLY ARENA,Arenas,680 HIGHWAY 8,32297.53,1978-01-02,0.2615186176498637
42,BEVERLY COMMUNITY CENTRE & ROCKTON ELEMENTARY SCHOOL (HWDSB),Community Centres,670 HIGHWAY 8,3800,2021-09-01,0
43,BEVERLY COMMUNITY STORAGE GARAGE,Park Facilities - Maintenance & Storage,680 HIGHWAY 8,2664,1975-01-02,0.10906146121933062
44,Beverly Park - Pavilion,Park Facilities - Public Use,680 Hwy #8,1332,1975-01-02,0.03266967150130099
45,Beverly Park - Scorekeeper Booth,Park Facilities - Public Use,680 Hwy 8,266,2008-01-01,0.06491818532991576
46,Beverly Park - Small Sun Shelter,Park Facilities - Public Use,680 Hwy 8,385,2009-01-01,0
47,Beverly Park - Washrooms - Located North West Corner Of Parking Lot,Park Facilities - Public Use,680 Hwy 8,300,1985-01-02,0.08026624212730422
48,BEVERLY PARK CONCESSION,Park Facilities - Public Use,680 HIGHWAY 8,600,1968-01-02,0
49,BEVERLY TOWNSHIP HALL (ROCKTON HALL) (H),Community Centres,795 OLD HIGHWAY 8,3995,1980-01-02,0.0821951058761993
50,BIINDIGEN COMMUNITY HUB (SAINT HELEN'S),Administration Facilities,785 BRITANNIA AVENUE,35000,1953-10-19,0.22845668356992982
51,BILL FRIDAY LAWFIELD ARENA,Arenas,150 FOLKESTONE AVENUE,31183,1979-01-02,0.057672012310367615
52,BILL SIMONE HALL (OLD BEASLEY),Community Centres,133 WILSON STREET,2456,1998-01-02,0.04293948511453499
53,Billy Sherring Park - Sunshelter Washroom Building,Park Facilities - Public Use,1530 Upper Sherman Ave.,1405,2002-01-02,0.05408732667171707
54,BINBROOK LIBRARY,Libraries,2641 REGIONAL ROAD 56,6000,2018-01-02,0
55,BINBROOK MEMORIAL HALL (H),Community Centres,2600 HIGHWAY 56,7596,1924-01-02,0.1658085958243344
56,Binbrook Park - Ball Park Washroom,Park Facilities - Public Use,2651 Hwy #56,250,1983-01-02,0.7713670907946538
57,BINBROOK YARD - MAIN BUILDING (F),Work Yards & Maintenance,2111 BINBROOK ROAD,5508,1969-01-02,0.4625645036418836
58,BINBROOK YARD - SALT / SAND STORAGE,Work Yards & Maintenance,2111 BINBROOK ROAD,2539,2004-01-02,0.16584665870592644
59,BINBROOK YARD - STORAGE BUILDING,Work Yards & Maintenance,2111 BINBROOK ROAD,130,1969-01-01,0
60,BIRGE OUTDOOR POOL,Outdoor Pools,167 BIRGE STREET,700,2016-01-02,0
61,Bobby Kerr Park - Storage - 2 Structures Side By Side,Park Facilities - Maintenance & Storage,100 Reno Ave.,383,1968-01-02,0.08074896435718289
62,BRAMPTON YARD - MAIN BUILDING (F),Work Yards & Maintenance,2200 BRAMPTON STREET,3464,1989-01-02,0.7488940338767516
63,BRAMPTON YARD - QUONSET,Work Yards & Maintenance,2200 BRAMPTON STREET,1656,1989-01-02,0.6181431943611718
64,BRAMPTON YARD - SALT STORAGE,Work Yards & Maintenance,2200 BRAMPTON STREET,4796,1989-01-02,0.17016287847413777
65,Bruce Park - Washrooms / Changerooms,Park Facilities - Public Use,145 Brucedale Ave. E.,1903,1969-01-02,0.10574557533546097
66,BUCHANAN PARK - ICE HUT,Park Facilities - Maintenance & Storage,111 COLUMBIA DRIVE,125,2011-01-02,0
67,Buchanan Park - Pavilion,Park Facilities - Public Use,111 Columbia Dr.,200,2016-01-01,0
68,Buchanan Park - Washroom And Changeroom Facility,Park Facilities - Public Use,111 Columbia Dr.,1959,1968-01-02,0.14425259086621606
69,Bullocks Corner Park - Storage / Concession,Park Facilities - Public Use,40 Park Ave.,280,1954-01-02,0.47159817560908524
70,BULLOCKS CORNER PARK - WASHROOM & STORAGE BUILDING,Park Facilities - Public Use,40 PARK AVENUE,1367,1971-01-02,0.12633839593748453
71,CARLISLE COMMUNITY CENTRE & ARENA,Arenas,1496 CENTRE ROAD,33062,1982-01-02,0.18595839361923736
72,Carlisle Community Centre - Washrooms / Concession,Park Facilities - Public Use,1496 Centre Rd.,481,1982-01-02,0.613413605749683
73,CARLISLE LIBRARY,Libraries,277 CARLISLE ROAD,2188.89,2022-06-15,0
74,CARLISLE MEMORIAL HALL,Community Centres,273 CARLISLE ROAD,4513,1925-01-02,0.028328563618247156
75,Carlisle Memorial Park - Storage For Grass Cutting Equipment,Park Facilities - Maintenance & Storage,1487 Centre Rd.,632,1976-01-02,0.11887648913320766
76,Carter Park - Washrooms / Storage,Park Facilities - Public Use,32 Stinson St.,333,1995-01-02,0.004173940320258305
77,Cathedral Park - (Hamilton Water)Field House / Washrooms / Storage,Park Facilities - Public Use,707 King St. W.,1475,2002-01-02,0
78,Centennial Heights Park - 2nd. Flr Concession Booth / Lower Level Washrooms / Utility Room,Park Facilities - Public Use,12 Karendale Cres.,528,1981-01-02,0.35008114295022424
79,Centennial Heights Park - Pavilion,Park Facilities - Public Use,12 Karendale Cres.,1313,1968-01-02,0
80,CENTRAL MEMORIAL RECREATION CENTRE (P),Indoor Pools,93 WEST AVENUE SOUTH,22559,1900-01-01,0.0845508708178091
81,Central Park - Pavilion,Park Facilities - Public Use,168 Bay St. N.,695,2002-01-02,0.05059888408368937
82,CENTRAL PUBLIC LIBRARY,Libraries,55 YORK BOULEVARD,185978,1984-01-02,0.017232180654537646
83,CENTRAL SERVICES WORKSHOPS (BARTON YARD),Work Yards & Maintenance,125 BARTON STREET WEST,60631,1914-01-02,0.056871735972146155
84,CHEDOKE GOLF - CLUBHOUSE,Golf Facilities,565 ABERDEEN AVENUE,12420,1972-01-02,0.15648895368419155
85,Chedoke Golf - Golf Shelter - 113753,Golf Facilities,565 Aberdeen Ave. E. - Golf Course,198,1964-01-02,0.10670556137380165
86,Chedoke Golf - Pro Shop,Golf Facilities,565 Aberdeen Ave. E. - Golf Course,2974,1956-01-02,0.38403179321179715
87,Chedoke Golf - Storage - 110526,Golf Facilities,565 Aberdeen Ave. E. - Golf Course,1217,1964-08-30,0.2786469342020125
88,Chedoke Golf - Storage - 111373,Golf Facilities,565 Aberdeen Ave. E. - Golf Course,130,1964-08-30,0.3454782096058676
89,Chedoke Golf - Storage - 111427,Golf Facilities,565 Aberdeen Ave. E. - Golf Course,771,1964-08-30,0.033437228819407645
90,Chedoke Golf - Storage - 121640,Golf Facilities,565 Aberdeen Ave. E. - Golf Course,195,1964-08-30,0.07128084247140389
91,Chedoke Golf - Storage - 124650,Golf Facilities,565 Aberdeen Ave. E. - Golf Course,435,1964-08-30,0.21376027853232052
92,Chedoke Golf - Washrooms - 114305,Golf Facilities,565 Aberdeen Ave. E. - Golf Course,548,1964-08-30,0.24621364271402157
93,Chedoke Golf - Washrooms - 126793,Golf Facilities,565 Aberdeen Ave. E. - Golf Course,724,1964-08-30,0.38678458275186794
94,Chedoke Golf - Washrooms / Storage - 125141,Golf Facilities,565 Aberdeen Ave. E. - Golf Course,396,1964-08-30,0.7521593154514701
95,CHEDOKE OUTDOOR POOL,Outdoor Pools,90 WEST 25TH STREET,7834,1962-01-02,0.06389757963695672
96,CHEDOKE TWIN PAD ARENA,Arenas,91 CHEDMAC DRIVE,89421,1994-01-02,0.02838286049115441
97,CHEDOKE YARD - GARAGE (F),Work Yards & Maintenance,161 STUDHOLME ROAD,15216,1979-01-02,0.20086859584674574
98,CHEDOKE YARD - MAIN BUILDING,Work Yards & Maintenance,161 STUDHOLME ROAD,9947,1954-01-02,0.5041469856533906
99,CHEDOKE YARD - SALT STORAGE,Work Yards & Maintenance,161 STUDHOLME ROAD,2975,1989-01-02,0.04323352574584859
101,Churchill Clubhouse - Former Lawnbowling Clubhouse,Park Facilities - Public Use,167 Cline Ave N,4568,1963-01-02,0.11859425441945244
102,Churchill Park - Cricket Club's Storage Buildings (2),Park Facilities - Maintenance & Storage,145 Cline Ave. N.,271,1990-01-01,0.10258146837228656
103,Churchill Park - Garden Shed,Park Facilities - Maintenance & Storage,145 Cline Ave. N.,138,1985-01-02,0.1410116006060453
104,Churchill Park - Small Storage Shed To East Of Main Bldg,Park Facilities - Maintenance & Storage,145 Cline Ave. N.,182,1985-01-02,0.22186006122621407
105,Churchill Park - Sun Shelter 146886,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0
106,Churchill Park - Sun Shelter 151590,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0
107,Churchill Park - Sun Shelter 151631,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0
108,Churchill Park - Sun Shelter 151734,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0
109,Churchill Park - Sun Shelter 151867,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0
110,Churchill Park - Sun Shelter 151907,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0
111,Churchill Park - Sun Shelter 151982,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0
112,Churchill Park - Sun Shelter 152003,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0.025352431559069057
113,Churchill Park - Sun Shelter 152015,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0
114,Churchill Park - Sun Shelter 152035,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0
115,Churchill Park - Sun Shelter 152223,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0
116,Churchill Park - Sun Shelter 152272,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0
117,Churchill Park - Sun Shelter 152315,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0
118,Churchill Park - Sun Shelter 184216,Park Facilities - Public Use,255 Glen Rd.,109,1985-01-02,0
119,Churchill Park - Washroom / Changeroom,Park Facilities - Public Use,145 Cline Ave. N.,857,1954-01-02,0.17575775231689167
120,CITYLAB (FOOTBALL HALL OF FAME),Administration Facilities,58 JACKSON STREET WEST,17585,1974-01-02,0.03311827178509152
121,CLUB 60 SENIOR CITIZEN CENTRE,Senior Centres,6 KING STREET WEST,3568,1975-01-02,0.06655842451449909
122,CONCESSION LIBRARY,Libraries,565 CONCESSION STREET,8316,1993-01-02,0.13822459879192805
123,CONSERVATION LAB & STORAGE,Administration Facilities,240 BURLINGTON STREET EAST,6671,1953-01-02,0.11211343945415221
124,COPETOWN COMMUNITY CENTRE,Community Centres,1950 GOVERNORS ROAD,7788,1993-01-02,0.025832289091989348
125,COPETOWN LIONS PARK - PAVILION,Park Facilities - Public Use,1950 GOVERNORS ROAD,1304,1998-01-02,0
126,Corktown Park - Washrooms / Storage,Park Facilities - Public Use,175 Ferguson Ave. S.,1546,1968-01-02,0.041357623594970236
127,CORONATION ARENA,Arenas,81 MACKLIN STREET NORTH,27098,1981-01-02,0.019117231964057648
128,CORONATION OUTDOOR POOL,Outdoor Pools,80 MACKLIN STREET NORTH,27087,2015-01-02,0.00021869160160041187
129,Courtcliffe Park - Picnic Shelter (Heritage),Park Facilities - Public Use,159 Carlisle Rd.,1485,1960-01-02,0
130,DALEWOOD RECREATION CENTRE (P),Indoor Pools,1152 MAIN STREET WEST,11601,1969-01-02,0.019768786459910443
131,DAVE ANDREYCHUK MOUNTAIN ARENA & SKATING CENTRE,Arenas,25-55 HESTER STREET,76286,1970-01-02,0.0343600876991946
132,DISCOVERY CENTRE,Administration Facilities,57 DISCOVERY DRIVE,21376,2004-01-01,0.0004413547828477489
133,DOMINIC AGOSTINO RIVERDALE COMMUNITY CENTRE (P),Indoor Pools,150 VIOLET DRIVE,16401,2006-01-02,0.053188096050950574
134,DUNDAS COMMUNITY POOL (P),Indoor Pools,39 MARKET STREET SOUTH,10364,1984-01-02,0.12106463810151706
135,Dundas Driving Park - Baseball Washroom/Concession,Park Facilities - Public Use,71 Cross St.,1279,1966-01-02,0.06683609863285948
136,Dundas Driving Park - Concession / Washroom / Ice Plant,Park Facilities - Public Use,71 Cross St.,4305,2012-01-02,0
137,DUNDAS DRIVING PARK - LAWN BOWLING CLUBHOUSE,Park Facilities - Public Use,71 CROSS STREET,1628,1954-01-02,0
138,DUNDAS DRIVING PARK - MAINTENANCE,Work Yards & Maintenance,71 CROSS STREET,5873,1993-01-02,0.037295564667538
139,DUNDAS DRIVING PARK - PAVILION (159080),Park Facilities - Public Use,71 CROSS STREET,1097,1954-01-02,0.05758627916428584
140,Dundas Driving Park - Pavilion - 159665,Park Facilities - Public Use,71 Cross St.,2058,1954-01-02,0.023147263464600085
141,Dundas Driving Park - Pavilion - 160003,Park Facilities - Public Use,71 Cross St.,1225,1954-01-02,0.005673353027298616
142,Dundas Driving Park - Small Storage Structure,Park Facilities - Public Use,71 Cross St.,105,1954-01-02,0.45368636390616174
143,DUNDAS DRIVING PARK - STAFF BUILDING,Work Yards & Maintenance,71 CROSS STREET,2808,1962-01-01,0.32583795014127853
144,DUNDAS DRIVING PARK - TENNIS CLUBHOUSE,Park Facilities - Public Use,71 CROSS STREET,2425,1954-01-02,0.04443336247312754
145,DUNDAS DRIVING PARK WADING POOL,Outdoor Pools,71 CROSS STREET,206,2012-01-02,0
146,DUNDAS LIBRARY,Libraries,18 OGILVIE STREET,13181,1978-01-02,0.023690907787228214
147,DUNDAS LIONS MEMORIAL COMMUNITY CENTRE (SC) (H),Senior Centres,10 MARKET STREET SOUTH,19628,1936-01-01,0.0044703097523717495
148,DUNDAS LITTLE THEATRE,Community Centres,37 MARKET STREET SOUTH,5000,1982-01-02,0.03506421402440475
149,DUNDAS TOWN HALL (H),Administration Facilities,60 MAIN STREET,14084,1848-01-01,0.431552984908257
150,DUNDAS WATER DISTRIBUTION - MAIN BUILDING (F),Work Yards & Maintenance,135 KING STREET EAST,8315,1983-01-02,0.12464855895925882
151,DUNDAS WATER DISTRIBUTION - STORES,Work Yards & Maintenance,135 KING STREET EAST,3817,2007-01-02,0.19812556848164015
152,DUNDAS YARD - MAIN BUILDING (F),Work Yards & Maintenance,189 KING STREET EAST,6874,1998-01-02,0.2500247147634157
153,DUNDAS YARD - SALT / SAND STORAGE,Work Yards & Maintenance,189 KING STREET EAST,9600,2014-06-19,0
154,DUNDAS YARD - STORAGE BUILDING A,Work Yards & Maintenance,189 KING STREET EAST,900,1985-01-02,0.18780494811265377
155,DUNDAS YARD - STORAGE BUILDING B,Work Yards & Maintenance,189 KING STREET EAST,260,1985-01-02,0.18491005594388335
159,Eastdale Park - Bocce / Washroom / Storage,Park Facilities - Public Use,81 Lincoln Rd.,580,2014-01-02,0
160,EASTLAWN CEMETERY,Cemeteries,2280 BARTON STREET EAST,1053,1968-01-01,0.13493720226692846
161,EASTMOUNT COMMUNITY CENTRE,Community Centres,115 EAST 26TH STREET,2413,1964-01-02,0.05582016863968687
162,EASTMOUNT PARK - CONCESSION,Park Facilities - Public Use,115 EAST 26TH STREET,687,1960-01-01,0
163,EASTWOOD ARENA,Arenas,111 BURLINGTON STREET EAST,26323,1959-01-02,0.48053096896574
164,Eastwood Park- Concession,Park Facilities - Public Use,111 Burlington St. E.,2777,1995-01-01,0.05622443651979777
165,Edwards Park - Storage / Concession,Park Facilities - Public Use,55 Mercer St.,809,1968-01-02,0.12284713460262005
166,ELEANOR PARK - ICE HUT,Park Facilities - Public Use,80 PRESIDIO DRIVE,688,2002-01-02,0.042965596296703414
167,ELMAR PARK - ICE HUT,Park Facilities - Maintenance & Storage,140 BRIGADE DRIVE,72,2014-01-02,0
168,Elmar Park - Sun Shelter,Park Facilities - Public Use,140 Brigade Dr.,373,2014-01-02,0
169,Escarpment Ward 1 - Utility Structure Associated With Cso Tank Above Chedoke,Park Facilities - Maintenance & Storage,18 Mountside,282,1964-01-02,0.0948626308293966
170,FAIRFIELD PARK - PAVILION,Park Facilities - Public Use,1501 BARTON STREET EAST,400,2011-08-17,0.028780436633797778
171,Father Sean O'Sullivan Park - Bocce Storage Shed No Geomedia #,Park Facilities - Public Use,1139 Greenhill Ave.,100,2002-01-02,0
172,Father Sean O'Sullivan Park - Sunshelter,Park Facilities - Public Use,1139 Greenhill Ave.,380,1997-01-02,0
173,Father Sean O'Sullivan Park - Water Chamber Structure,Park Facilities - Maintenance & Storage,1139 Greenhill Ave.,72,2014-01-02,0
174,Ferguson Ave Shelter - Pavilion,Park Facilities - Public Use,Ferguson Ave S,4205,1999-01-02,0
175,Ferris Park - Bocce Club Bldg,Park Facilities - Public Use,25 Lynwood Dr.,592,2014-01-02,0
176,FIRE PREVENTION & WEST DISTRICT OFFICES,Fire & EMS,55 KING WILLIAM STREET,6857,1979-01-02,0.05378588336025782
177,FIRE STATION 01 (F),Fire & EMS,35 JOHN STREET NORTH,19726,1917-01-02,0.016156263680044147
178,FIRE STATION 02,Fire & EMS,1400 UPPER WELLINGTON STREET,7503,1995-01-02,0.15038027724266934
179,FIRE STATION 03,Fire & EMS,965 GARTH STREET ,7502,1981-01-02,0.25438101912597044
180,FIRE STATION 04 (F),Fire & EMS,729 UPPER SHERMAN AVENUE,23219,1998-01-02,0.24729446677052605
181,FIRE STATION 05,Fire & EMS,1227 STONE CHURCH ROAD EAST,9494,2015-01-02,0
182,FIRE STATION 06,Fire & EMS,246 WENTWORTH STREET NORTH ,12864,1986-01-02,0.07809041345350379
183,FIRE STATION 07 (F),Fire & EMS,225 QUIGLEY ROAD,7061,1989-01-02,0.21007554291635072
184,FIRE STATION 08,Fire & EMS,400 MELVIN AVENUE,5674,1958-01-02,0.11276099589838906
185,FIRE STATION 09,Fire & EMS,125 KENILWORTH AVENUE NORTH,8533,2006-01-02,0.06377261901592132
186,FIRE STATION 10,Fire & EMS,1455 MAIN STREET WEST,8869,1956-01-02,0.12916064004184194
187,FIRE STATION 11,Fire & EMS,24 RAY STREET SOUTH,3484,1963-01-02,0.1321430081153492
188,FIRE STATION 12,Fire & EMS,199 HIGHWAY 8,11956,1994-01-02,0.2123738380343529
189,FIRE STATION 13,Fire & EMS,177 BAY STREET NORTH,14856,1967-01-02,0.27967585882784807
190,FIRE STATION 14,Fire & EMS,595 CHAPEL HILL ROAD,2827,2002-01-02,0.8106433233941057
191,FIRE STATION 14 - GARAGE,Fire & EMS,595 CHAPEL HILL ROAD,1149,2002-01-02,0.5772130213595856
192,FIRE STATION 15,Fire & EMS,415 ARVIN AVENUE,6671,1999-01-02,0.12212043849885287
193,FIRE STATION 16,Fire & EMS,939 BARTON STREET,6671,1999-01-02,0.10649384290659963
194,FIRE STATION 17,Fire & EMS,363 ISAAC BROCK DRIVE,6576,1989-01-02,0.05492581779745943
195,FIRE STATION 18,Fire & EMS,2636 HIGHWAY 56,10968,2005-01-02,0.0975399281030198
196,FIRE STATION 19,Fire & EMS,3302 HOMESTEAD DRIVE,7224,1994-01-02,0.16987414790743977
197,FIRE STATION 20,Fire & EMS,661 GARNER ROAD EAST ,7480,2013-01-02,0.0009342897257675912
198,FIRE STATION 21,Fire & EMS,365 WILSON STREET WEST,12520,1994-01-02,0.12731438869395986
199,FIRE STATION 23,Fire & EMS,19 MEMORIAL SQUARE,10025,1976-01-02,0.008755874738816756
200,FIRE STATION 24,Fire & EMS,256 PARKSIDE DRIVE,9906,1996-01-02,0.17349652961734932
201,FIRE STATION 25,Fire & EMS,361 OLD BROCK ROAD,3519,1971-01-02,0.10526915340930333
202,FIRE STATION 26,Fire & EMS,119 LYNDEN ROAD,4824,1980-01-02,0.030447575204346836
203,FIRE STATION 27 (H),Fire & EMS,795 OLD HIGHWAY 8,4825,1971-01-02,0.04545735154715739
204,FIRE STATION 28,Fire & EMS,1801 BROCK ROAD,4402,1966-01-02,0.0207510000129176
205,FIRE STATION 30 (EMS),Fire & EMS,489 VICTORIA AVENUE NORTH ,22243,1988-01-02,0.168779748105487
206,FIRE STATION 30-B - OUT BUILDING,Fire & EMS,489 VICTORIA AVENUE NORTH,2500,1988-01-02,0.012841374294517566
207,FIRE STATION 32 (EMS),Fire & EMS,1000 LIMERIDGE ROAD EAST,8570,1991-01-02,0.12981442785149422
208,FIRSTONTARIO CENTRE (COPPS),Entertainment Facilities,101 YORK BOULEVARD,449376,1985-01-01,0.13232981840514113
209,FIRSTONTARIO CONCERT HALL (HAMILTON PLACE),Entertainment Facilities,10 MACNAB STREET SOUTH,93779,1974-01-01,0.1783892666875357
210,FLAMBOROUGH FAMILY YMCA,Indoor Pools,207 PARKSIDE DRIVE,31425,2019-11-25,0
211,FLAMBOROUGH YARD (BROCK ROAD),Work Yards & Maintenance,867 4TH CONCESSION ROAD WEST,10924,1973-01-02,0.20002212385649304
212,FLAMBOROUGH YARD - SALT / SAND STORAGE (BROCK ROAD),Work Yards & Maintenance,867 4TH CONCESSION ROAD WEST,5000,2007-01-01,0
213,FORESTRY OPERATIONS CENTRE - GARAGE (F),Work Yards & Maintenance,1301 UPPER OTTAWA STREET,4219,1984-01-02,0.3462030116133218
214,FORESTRY OPERATIONS CENTRE - MAIN BUILDING,Work Yards & Maintenance,1301 UPPER OTTAWA STREET,15382,1995-01-02,0.15340897065573106
215,FORESTRY OPERATIONS CENTRE - QUONSET,Work Yards & Maintenance,1301 UPPER OTTAWA STREET,3129,1984-01-02,0.7881387241773666
216,FRANK A. COOKE TERMINAL,Transit Facilities,7 MACNAB STREET SOUTH,2225,2011-01-01,0.007405534638675627
217,FREELTON COMMUNITY PARK - OUTDOOR RINK,Park Facilities - Public Use,170 FREELTON ROAD,3240,2016-12-22,0
218,FREELTON COMMUNITY PARK - PICNIC PAVILION,Park Facilities - Public Use,170 FREELTON ROAD,1220,1973-01-02,0
219,Freelton Community Park - Storage,Park Facilities - Maintenance & Storage,170 Freelton Rd,120,1973-01-02,0.21194373342668454
220,Freelton Community Park - Storage Building #2,Park Facilities - Maintenance & Storage,170 Freelton Rd,120,1973-01-02,0.14747189277912845
221,FREELTON LIBRARY,Libraries,1803 BROCK ROAD,1945,1999-01-02,0.030310870454686976
222,FRUITLAND COMMUNITY CENTRE,Community Centres,14 SHERWOOD PARK ROAD,5047,1964-01-02,0.004838526297732666
223,GAGE PARK - 1919 BUILDING,Work Yards & Maintenance,1000 MAIN STREET EAST,575,1977-01-02,0.7365448870425886
224,"Gage Park - 2 Storage Bldgs, 1 Concrete Stucco And 1 Block",Park Facilities - Maintenance & Storage,1000 Main St. E.,202,1962-01-02,0.37550350204651095
225,Gage Park - Archway (Near Main St),Park Facilities - Public Use,1000 Main St. E.,602,1958-01-01,0
